TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(OWM),Radiation(MSM),Radiation(today)(CWB),Radiation(today)(OWM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2023-09-25 00:00:00,0.03000000000000028,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 00:15:00,0.029862857142857413,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 00:30:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 00:45:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 01:00:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 01:15:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 01:30:00,0.029932126696832862,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 01:45:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 02:00:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,32.0,28.0,81.0,,,
2023-09-25 02:15:00,0.02993031358885043,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.75,27.75,81.0,,,
2023-09-25 02:30:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.5,27.5,81.0,,,
2023-09-25 02:45:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.25,27.25,81.0,,,
2023-09-25 03:00:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 03:15:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 03:30:00,0.03000000000000028,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 03:45:00,0.030000000000000294,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 04:00:00,0.02993288590604056,0.0,0.0,0.0,0.0,,0.0,0.0,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 04:15:00,0.030000000000000294,0.0,1.3697240872748794e-05,0.00019065220023752104,0.0002222424938892409,,0.00019065220023752104,0.0002222424938892409,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 04:30:00,0.030000000000000294,0.0,2.7394481745497588e-05,0.00038130440047504213,0.0004444849877784818,,0.00038130440047504213,0.0004444849877784818,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 04:45:00,0.030000000000000294,0.0,4.109172261824639e-05,0.0005719566007125631,0.0006667274816677227,,0.0005719566007125631,0.0006667274816677227,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 05:00:00,0.030000000000000294,0.0,5.4788963490995176e-05,0.0007626088009500843,0.0008889699755569636,,0.0007626088009500843,0.0008889699755569636,晴,晴,晴,晴,31.0,27.0,81.0,32.140000000000036,27.840000000000032,83.0
2023-09-25 05:15:00,0.02992998833138882,0.015972222222222218,0.017421974469425054,0.016341606483697285,0.014169318237922869,,0.016341606483697285,0.014169318237922869,晴,晴,晴,晴,31.0,26.75,82.0,31.480000000000025,27.612500000000026,82.0
2023-09-25 05:30:00,0.030000000000000294,0.031944444444444435,0.03478915997535911,0.03192060416644448,0.027449666500288777,,0.03192060416644448,0.027449666500288777,晴,晴,晴,晴,31.0,26.5,83.0,30.820000000000014,27.38500000000002,81.0
2023-09-25 05:45:00,0.030000000000000294,0.04791666666666666,0.05215634548129317,0.047499601849191685,0.040730014762654684,,0.047499601849191685,0.040730014762654684,晴,晴,晴,晴,31.0,26.25,84.0,30.16000000000001,27.157500000000013,80.0
2023-09-25 06:00:00,0.030000000000000294,0.06388888888888887,0.06952353098722723,0.06307859953193888,0.05401036302502059,,0.06307859953193888,0.05401036302502059,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 06:15:00,0.03094444444444475,0.10694444444444444,0.12439847368058178,0.1021910662306166,0.08564621674810499,,0.1021910662306166,0.08564621674810499,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 06:30:00,0.5731999999999996,0.15,0.17927341637393635,0.14130353292929432,0.1172820704711894,,0.14130353292929432,0.1172820704711894,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 06:45:00,0.9184777777777784,0.19305555555555556,0.2341483590672909,0.18041599962797197,0.1489179241942738,,0.18041599962797197,0.1489179241942738,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 07:00:00,1.2094348327566395,0.2361111111111111,0.28902330176064545,0.2195284663266497,0.1805537779173582,,0.2195284663266497,0.1805537779173582,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 07:15:00,1.804944444444456,0.25625,0.3453170399524923,0.2671611655379955,0.2279994955601276,,0.2671611655379955,0.2279994955601276,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 07:30:00,2.070644444444443,0.2763888888888889,0.4016107781443392,0.3147938647493413,0.2754452132028969,,0.3147938647493413,0.2754452132028969,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 07:45:00,2.2212999999999967,0.2965277777777778,0.4579045163361861,0.3624265639606871,0.32289093084566634,,0.3624265639606871,0.32289093084566634,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 08:00:00,2.4882888888888903,0.31666666666666665,0.5141982545280329,0.4100592631720328,0.3703366484884357,,0.4100592631720328,0.3703366484884357,晴,晴,晴,晴,31.0,26.0,85.0,29.5,26.93000000000001,79.0
2023-09-25 08:15:00,2.44586666666667,0.3631944444444444,0.5606726503673238,0.4517316455686362,0.3996602230161096,,0.4517316455686362,0.3996602230161096,晴,晴,晴,晴,32.0,27.0,82.25,29.855000000000004,27.30500000000001,75.75
2023-09-25 08:30:00,2.8418607442977124,0.4097222222222222,0.6071470462066147,0.4934040279652395,0.42898379754378346,,0.4934040279652395,0.42898379754378346,晴,晴,晴,晴,33.0,28.0,79.5,30.210000000000008,27.68000000000001,72.5
2023-09-25 08:45:00,3.3440444444444397,0.45625,0.6536214420459057,0.5350764103618428,0.4583073720714573,,0.5350764103618428,0.4583073720714573,晴,晴,晴,晴,34.0,29.0,76.75,30.56500000000001,28.05500000000001,69.25
2023-09-25 09:00:00,5.176566666666673,0.5027777777777778,0.7000958378851966,0.5767487927584461,0.4876309465991312,,0.5767487927584461,0.4876309465991312,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 09:15:00,4.2602666666666655,0.5527777777777778,0.732373749386718,0.6023084699853319,0.4992667501160378,,0.6023084699853319,0.4992667501160378,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 09:30:00,4.956066666666667,0.6027777777777777,0.7646516608882392,0.6278681472122178,0.5109025536329443,,0.6278681472122178,0.5109025536329443,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 09:45:00,4.531666666666669,0.6527777777777777,0.7969295723897605,0.6534278244391036,0.522538357149851,,0.6534278244391036,0.522538357149851,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 10:00:00,5.352577777777787,0.7027777777777777,0.8292074838912818,0.6789875016659894,0.5341741606667576,,0.6789875016659894,0.5341741606667576,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 10:15:00,5.7544111111111045,0.6486111111111109,0.8447304926725046,0.6725666682588243,0.5304333254144478,,0.6725666682588243,0.5304333254144478,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 10:30:00,6.751544444444443,0.5944444444444444,0.8602535014537274,0.6661458348516591,0.5266924901621379,,0.6661458348516591,0.5266924901621379,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 10:45:00,6.750066666666683,0.5402777777777777,0.8757765102349501,0.6597250014444941,0.5229516549098283,,0.6597250014444941,0.5229516549098283,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 11:00:00,6.841166666666652,0.4861111111111111,0.8912995190161728,0.6533041680373288,0.5192108196575185,,0.6533041680373288,0.5192108196575185,晴,晴,晴,晴,35.0,30.0,74.0,30.920000000000016,28.43000000000001,66.0
2023-09-25 11:15:00,7.0825850340136105,0.41527777777777775,0.8888960290229909,0.6457916886853481,0.5160417241928956,,0.6457916886853481,0.5160417241928956,晴,晴,晴,晴,35.5,30.75,72.0,32.192500000000024,29.237500000000008,64.25
2023-09-25 11:30:00,7.258811111111113,0.34444444444444444,0.8864925390298093,0.6382792093333671,0.5128726287282729,,0.6382792093333671,0.5128726287282729,晴,晴,晴,晴,36.0,31.5,70.0,33.46500000000003,30.045000000000016,62.5
2023-09-25 11:45:00,6.9833888888888715,0.27361111111111114,0.8840890490366277,0.6307667299813863,0.5097035332636501,,0.6307667299813863,0.5097035332636501,晴,晴,晴,晴,36.5,32.25,68.0,34.73750000000004,30.85250000000002,60.75
2023-09-25 12:00:00,1.8756333333333384,0.20277777777777775,0.8816855590434459,0.6232542506294054,0.5065344377990273,,0.6232542506294054,0.5065344377990273,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 12:15:00,0.9914000000000004,0.20277777777777775,0.8615326937237131,0.6214955459397005,0.4979122760944258,,0.6214955459397005,0.4979122760944258,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 12:30:00,2.1480760626398303,0.20277777777777775,0.8413798284039802,0.6197368412499955,0.4892901143898244,,0.6197368412499955,0.4892901143898244,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 12:45:00,1.6531222222222144,0.20277777777777775,0.8212269630842473,0.6179781365602907,0.480667952685223,,0.6179781365602907,0.480667952685223,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 13:00:00,2.0885777777777834,0.20277777777777775,0.8010740977645144,0.6162194318705857,0.4720457909806216,,0.6162194318705857,0.4720457909806216,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 13:15:00,5.648588888888883,0.2645833333333333,0.7647002221316676,0.5833548625725893,0.450176058860508,,0.5833548625725893,0.450176058860508,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 13:30:00,3.6681555555555336,0.3263888888888889,0.7283263464988206,0.550490293274593,0.4283063267403945,,0.550490293274593,0.4283063267403945,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 13:45:00,4.9680777777777685,0.3881944444444445,0.6919524708659737,0.5176257239765966,0.4064365946202809,,0.5176257239765966,0.4064365946202809,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 14:00:00,5.496277777777776,0.45,0.6555785952331268,0.4847611546786002,0.3845668625001674,,0.4847611546786002,0.3845668625001674,晴,晴,晴,晴,37.0,33.0,66.0,36.01000000000005,31.660000000000025,59.0
2023-09-25 14:15:00,4.8008111111111065,0.4375,0.6059410118680473,0.4456445897149477,0.3550357512355054,,0.4456445897149477,0.3550357512355054,晴,晴,晴,晴,37.0,33.0,66.25,35.930000000000035,31.592500000000033,59.25
2023-09-25 14:30:00,4.266944444444432,0.425,0.5563034285029678,0.4065280247512952,0.3255046399708434,,0.4065280247512952,0.3255046399708434,晴,晴,晴,晴,37.0,33.0,66.5,35.85000000000002,31.525000000000038,59.5
2023-09-25 14:45:00,3.723124274099889,0.4125,0.5066658451378883,0.3674114597876427,0.2959735287061814,,0.3674114597876427,0.2959735287061814,晴,晴,晴,晴,37.0,33.0,66.75,35.77000000000001,31.457500000000053,59.75
2023-09-25 15:00:00,3.3064555555555577,0.4,0.4570282617728087,0.3282948948239902,0.26644241744151936,,0.3282948948239902,0.26644241744151936,晴,晴,晴,晴,37.0,33.0,67.0,35.69,31.390000000000054,60.0
2023-09-25 15:15:00,2.7032222222222257,0.34930555555555554,0.3993105721319996,0.28751412035332313,0.2344703532773121,,0.28751412035332313,0.2344703532773121,晴,晴,晴,晴,37.0,33.0,67.0,35.69,31.390000000000054,60.0
2023-09-25 15:30:00,2.101522222222232,0.2986111111111111,0.3415928824911906,0.24673334588265605,0.20249828911310488,,0.24673334588265605,0.20249828911310488,晴,晴,晴,晴,37.0,33.0,67.0,35.69,31.390000000000054,60.0
2023-09-25 15:45:00,1.4745222222222356,0.24791666666666665,0.2838751928503815,0.20595257141198894,0.17052622494889758,,0.20595257141198894,0.17052622494889758,晴,晴,晴,晴,37.0,33.0,67.0,35.69,31.390000000000054,60.0
